Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","Li+","BatteryHolder_LCSC_2032",65.640000,-64.370000,0.000000,bottom
"G***","LOGO","qr",65.745000,-64.353000,0.000000,bottom
